frame,rot_ke,trans_ke,effi
117,2.702685e-20,2.689034e-20,5.012659e+01,
118,2.701558e-20,2.723335e-20,4.979928e+01,
119,2.700312e-20,2.625764e-20,5.069984e+01,
120,2.699174e-20,2.575075e-20,5.117646e+01,
121,2.697437e-20,2.573389e-20,5.117674e+01,
122,2.695618e-20,2.805660e-20,4.899984e+01,
123,2.693297e-20,2.793265e-20,4.908898e+01,
124,2.690482e-20,2.730467e-20,4.963120e+01,
125,2.687393e-20,2.095614e-20,5.618626e+01,
126,2.684639e-20,2.018244e-20,5.708496e+01,
127,2.681513e-20,1.840610e-20,5.929766e+01,
128,2.677993e-20,1.864388e-20,5.895571e+01,
129,2.674103e-20,1.327906e-20,6.681901e+01,
130,2.670932e-20,1.067180e-20,7.145136e+01,
131,2.667865e-20,8.031161e-21,7.686199e+01,
132,2.665064e-20,6.612468e-21,8.012071e+01,
133,2.662301e-20,5.207990e-21,8.363862e+01,
134,2.659937e-20,4.941072e-21,8.433417e+01,
135,2.657662e-20,6.816233e-21,7.958775e+01,
136,2.654921e-20,6.891052e-21,7.939295e+01,
137,2.652354e-20,7.185469e-21,7.868383e+01,
138,2.649684e-20,7.591015e-21,7.773103e+01,
139,2.647421e-20,1.081550e-20,7.099602e+01,
140,2.645153e-20,1.222605e-20,6.838983e+01,
141,2.643214e-20,1.278855e-20,6.739335e+01,
142,2.641280e-20,1.417298e-20,6.507895e+01,
143,2.639765e-20,1.826908e-20,5.909913e+01,
144,2.638449e-20,1.863803e-20,5.860287e+01,
145,2.637184e-20,2.693872e-20,4.946833e+01,
146,5.271491e-20,2.895787e-20,6.454404e+01,
147,5.268463e-20,3.044863e-20,6.337371e+01,
148,5.265898e-20,3.177719e-20,6.236543e+01,
149,5.264255e-20,3.013469e-20,6.359544e+01,
150,5.262566e-20,2.910333e-20,6.439045e+01,
151,5.260819e-20,2.979593e-20,6.384170e+01,
152,5.259357e-20,2.678268e-20,6.625858e+01,
153,2.629160e-20,2.512479e-20,5.113467e+01,
154,2.628553e-20,2.065507e-20,5.599743e+01,
155,2.628104e-20,1.613695e-20,6.195730e+01,
156,2.627445e-20,1.062212e-20,7.121108e+01,
157,2.626519e-20,6.435540e-21,8.031989e+01,
158,2.625724e-20,4.976046e-21,8.406813e+01,
159,2.624993e-20,4.361442e-21,8.575222e+01,
160,2.623563e-20,3.188758e-21,8.916287e+01,
161,2.621788e-20,2.335253e-21,9.182137e+01,
162,2.620110e-20,2.551681e-21,9.112545e+01,
163,2.618059e-20,2.351916e-21,9.175706e+01,
164,2.616029e-20,3.119780e-21,8.934504e+01,
165,2.613548e-20,2.625332e-21,9.087184e+01,
166,2.611360e-20,2.761096e-21,9.043766e+01,
167,2.609293e-20,2.819694e-21,9.024753e+01,
168,2.607192e-20,3.244529e-21,8.893274e+01,
169,2.605271e-20,2.814406e-21,9.025048e+01,
170,2.603318e-20,2.350316e-21,9.171943e+01,
171,2.601358e-20,3.233764e-21,8.894339e+01,
172,2.598950e-20,2.902583e-21,8.995371e+01,
173,2.596696e-20,3.802881e-21,8.722573e+01,
174,2.594251e-20,3.380360e-21,8.847193e+01,
175,2.591964e-20,3.160051e-21,8.913313e+01,
176,2.590034e-20,3.942760e-21,8.678837e+01,
177,2.587725e-20,3.592060e-21,8.781084e+01,
178,2.585567e-20,2.898203e-21,8.992065e+01,
179,2.583496e-20,2.086857e-21,9.252607e+01,
180,2.581813e-20,2.205636e-21,9.212941e+01,
181,2.580186e-20,2.481795e-21,9.122534e+01,
182,2.578445e-20,2.972937e-21,8.966201e+01,
183,2.576674e-20,3.462576e-21,8.815376e+01,
184,2.574460e-20,3.398055e-21,8.833993e+01,
185,2.572124e-20,2.829811e-21,9.008859e+01,
186,2.569952e-20,3.019281e-21,8.948674e+01,
187,2.567940e-20,3.176785e-21,8.899097e+01,
188,2.565846e-20,2.528116e-21,9.103078e+01,
189,2.564168e-20,3.520794e-21,8.792697e+01,
190,2.562627e-20,4.374356e-21,8.541912e+01,
191,2.560717e-20,4.272535e-21,8.570088e+01,
192,2.558679e-20,4.370473e-21,8.541097e+01,
193,2.557090e-20,3.438273e-21,8.814763e+01,
194,2.555726e-20,3.418492e-21,8.820223e+01,
195,2.554893e-20,2.563041e-21,9.088274e+01,
196,2.554296e-20,3.686893e-21,8.738655e+01,
197,2.553849e-20,4.626840e-21,8.466173e+01,
198,2.553474e-20,5.038376e-21,8.352024e+01,
199,2.553569e-20,5.204523e-21,8.306933e+01,
200,2.553793e-20,4.600145e-21,8.473643e+01,
201,2.554044e-20,4.656071e-21,8.458076e+01,
202,2.554740e-20,5.167889e-21,8.317486e+01,
203,2.555687e-20,6.088183e-21,8.076102e+01,
204,2.556944e-20,7.832435e-21,7.655091e+01,
205,2.558655e-20,7.233082e-21,7.796111e+01,
206,2.560667e-20,6.125406e-21,8.069648e+01,
207,2.562422e-20,6.840824e-21,7.892865e+01,
208,2.564563e-20,6.973525e-21,7.862138e+01,
209,2.567244e-20,7.917402e-21,7.642918e+01,
210,2.570048e-20,7.586797e-21,7.720812e+01,
211,2.572599e-20,7.789712e-21,7.675803e+01,
212,2.575091e-20,9.635829e-21,7.276994e+01,
213,2.577231e-20,1.250080e-20,6.733790e+01,
214,2.579739e-20,1.341145e-20,6.579483e+01,
215,2.582227e-20,1.458285e-20,6.390841e+01,
216,2.584885e-20,1.475368e-20,6.366315e+01,
217,2.587398e-20,1.579331e-20,6.209662e+01,
218,2.590125e-20,1.783903e-20,5.921601e+01,
219,2.593281e-20,1.401650e-20,6.491429e+01,
220,2.596071e-20,1.522294e-20,6.303645e+01,
221,2.598381e-20,1.661600e-20,6.099513e+01,
222,2.601167e-20,1.555323e-20,6.258085e+01,
223,2.604158e-20,1.496954e-20,6.349883e+01,
224,2.607016e-20,1.049293e-20,7.130185e+01,
225,2.609031e-20,7.882193e-21,7.679831e+01,
226,2.610310e-20,5.057124e-21,8.377058e+01,
227,2.611277e-20,3.255444e-21,8.891508e+01,
228,2.611953e-20,2.168891e-21,9.233294e+01,
