frame,rot_ke,trans_ke,effi
117,1.212851e-20,1.855088e-20,3.953308e+01,
118,1.522862e-20,2.015548e-20,4.303803e+01,
119,1.529145e-20,1.822509e-20,4.562359e+01,
120,1.534266e-20,1.585985e-20,4.917125e+01,
121,1.538628e-20,1.477439e-20,5.101439e+01,
122,1.849458e-20,1.787118e-20,5.085712e+01,
123,1.852013e-20,1.762951e-20,5.123185e+01,
124,2.160947e-20,2.042872e-20,5.140438e+01,
125,2.160485e-20,2.176427e-20,4.981620e+01,
126,2.467883e-20,2.440440e-20,5.027956e+01,
127,2.464549e-20,2.458582e-20,5.006060e+01,
128,3.073530e-20,3.097195e-20,4.980826e+01,
129,3.065501e-20,3.254484e-20,4.850487e+01,
130,3.361118e-20,3.615356e-20,4.817789e+01,
131,3.045622e-20,3.323269e-20,4.782029e+01,
132,2.732944e-20,2.781404e-20,4.956060e+01,
133,2.423784e-20,2.508989e-20,4.913634e+01,
134,1.814611e-20,1.673219e-20,5.202692e+01,
135,1.208536e-20,1.044215e-20,5.364712e+01,
136,6.044083e-21,6.265148e-21,4.910204e+01,
137,6.050104e-21,4.241414e-21,5.878728e+01,
138,3.030530e-21,3.019454e-21,5.009153e+01,
139,3.037168e-21,2.633820e-21,5.355624e+01,
140,3.044562e-21,4.488291e-21,4.041712e+01,
141,3.053736e-21,5.221100e-21,3.690389e+01,
142,6.123094e-21,8.990940e-21,4.051264e+01,
143,9.211104e-21,1.103511e-20,4.549543e+01,
144,1.846693e-20,1.675695e-20,5.242730e+01,
145,2.158659e-20,1.912363e-20,5.302499e+01,
146,2.777290e-20,2.691321e-20,5.078602e+01,
147,3.396045e-20,3.262926e-20,5.099954e+01,
148,4.016188e-20,3.711891e-20,5.196877e+01,
149,4.016664e-20,3.925508e-20,5.057387e+01,
150,4.323181e-20,4.252393e-20,5.041273e+01,
151,4.317361e-20,4.435623e-20,4.932444e+01,
152,4.307421e-20,4.548082e-20,4.864118e+01,
153,3.987703e-20,4.367055e-20,4.772973e+01,
154,4.281049e-20,4.585996e-20,4.828045e+01,
155,4.264920e-20,4.715303e-20,4.749236e+01,
156,3.942924e-20,4.753624e-20,4.533895e+01,
157,3.320923e-20,4.109874e-20,4.469135e+01,
158,3.005295e-20,3.502277e-20,4.618151e+01,
159,2.694599e-20,2.950395e-20,4.773431e+01,
160,2.388415e-20,2.453290e-20,4.933004e+01,
161,1.787390e-20,1.619678e-20,5.246123e+01,
162,1.486967e-20,1.335263e-20,5.268766e+01,
163,1.188257e-20,9.457266e-21,5.568258e+01,
164,5.936317e-21,4.701688e-21,5.580292e+01,
165,5.932144e-21,3.654733e-21,6.187775e+01,
166,2.963903e-21,2.236589e-21,5.699274e+01,
167,2.960939e-21,2.814780e-21,5.126530e+01,
168,8.876822e-21,6.222829e-21,5.878826e+01,
169,1.182812e-20,1.020226e-20,5.369006e+01,
170,1.477947e-20,1.321404e-20,5.279606e+01,
171,2.068324e-20,2.000415e-20,5.083452e+01,
172,2.363706e-20,2.327974e-20,5.038080e+01,
173,2.953584e-20,2.893993e-20,5.050954e+01,
174,3.543147e-20,3.529754e-20,5.009468e+01,
175,4.427974e-20,4.242404e-20,5.107014e+01,
176,4.132082e-20,4.167394e-20,4.978727e+01,
177,4.718101e-20,4.660638e-20,5.030635e+01,
178,4.420382e-20,4.415807e-20,5.002589e+01,
179,4.415808e-20,4.350541e-20,5.037225e+01,
180,4.702092e-20,4.596645e-20,5.056699e+01,
181,4.106165e-20,4.129456e-20,4.985860e+01,
182,3.511182e-20,3.555322e-20,4.968768e+01,
183,2.626880e-20,2.798261e-20,4.842049e+01,
184,2.621351e-20,2.472516e-20,5.146092e+01,
185,2.326190e-20,2.287986e-20,5.041399e+01,
186,1.741811e-20,1.721937e-20,5.028689e+01,
187,1.739151e-20,1.674727e-20,5.094355e+01,
188,1.158099e-20,1.204814e-20,4.901149e+01,
189,8.671933e-21,7.724091e-21,5.289046e+01,
190,5.775372e-21,4.921186e-21,5.399281e+01,
191,2.883128e-21,3.276531e-21,4.680662e+01,
192,2.877927e-21,3.243973e-21,4.701036e+01,
193,2.870008e-21,7.728708e-21,2.707883e+01,
194,5.717787e-21,1.235982e-20,3.162911e+01,
195,1.138470e-20,1.846038e-20,3.814598e+01,
196,1.699786e-20,2.413380e-20,4.132549e+01,
197,2.254887e-20,2.971391e-20,4.314519e+01,
198,3.085649e-20,3.810698e-20,4.474324e+01,
199,3.350320e-20,3.928038e-20,4.603126e+01,
200,3.336233e-20,3.898467e-20,4.611433e+01,
201,4.430135e-20,4.759802e-20,4.820637e+01,
202,4.691167e-20,4.713527e-20,4.988112e+01,
203,4.402852e-20,4.439311e-20,4.979383e+01,
204,4.118912e-20,3.942766e-20,5.109249e+01,
205,3.566203e-20,3.516485e-20,5.035098e+01,
